comment_id,message,plu_pro,sin_pro,word_count,char_count,allcaps_c,emoji_count,emoji_categories,clarity_mean,arousal_mean,valence_mean,familarity_mean,complexity_mean
ct_79,definitely goosebumps from the start,0,0,5,36,0,0,[],[],[],[],[],[]
ct_83,space...the final frontier,0,0,3,26,0,0,[],[],[],[],[],[]
ct_84,hi from prague,0,0,3,14,0,0,[],[],[],[],[],[]
ct_85,:heart_suit:,0,0,1,12,0,1,['game'],[],[],[],[],[]
ct_86,hello from germany ,0,0,3,19,0,0,[],[],[],[],[],[]
ct_87,"""la femme d'argent"" forgot how good starting track this was",0,0,10,59,0,0,[],[],[],[],[],[]
ct_89,:face-fuchsia-wide-eyes:,0,0,1,24,0,0,[],[],[],[],[],[]
ct_91,live al viva festival locorotondo bari :red_heart::red_heart::red_heart:,0,0,7,72,0,3,"['emotion', 'emotion', 'emotion']",[],[],[],[],[]
ct_92,...and then it leads to their biggest hit,0,0,8,41,0,0,[],[],[],[],[],[]
ct_93,trop bon,0,0,2,8,0,0,[],[],[],[],[],[]
ct_94,all :smiling_face_with_heart_eyes:love!!!! from mx !!!!!,0,0,5,56,1,1,['face-affection'],[78.142857],[49.642857],[91.464286],[88.214286],[41.821429]
ct_95,awesome! how do we download it? ,1,0,6,32,0,0,[],[],[],[],[],[]
ct_98,i like the early years of downtempo ,0,1,7,36,0,0,[],[],[],[],[],[]
ct_99,austin in october :raising_hands_medium_skin_tone::maple_leaf::dashing_away::dashing_away:,0,0,4,90,0,4,"['emotion', 'emotion', 'plant-other']",[],[],[],[],[]
ct_100,:blue_circle::white_circle::red_circle:,0,0,1,39,0,3,"['geometric', 'geometric', 'geometric']",[],[],[],[],[]
ct_102,godo :green_square::white_large_square::red_square:,0,0,2,51,1,3,"['geometric', 'geometric', 'geometric']",[],[],[],[],[]
ct_105,:smiling_face_with_heart_eyes:amazing:smiling_face_with_heart_eyes:,0,0,1,67,1,2,"['face-affection', 'face-affection']","[78.142857, 78.142857]","[49.642857, 49.642857]","[91.464286, 91.464286]","[88.214286, 88.214286]","[41.821429, 41.821429]"
ct_106,i'm not a number...so 60's under psychedelyc.,0,1,7,45,0,0,[],[],[],[],[],[]
ct_108,me too @timlm ,0,1,3,14,0,0,[],[],[],[],[],[]
ct_109,:fire:,0,0,1,6,0,1,['sky & weather'],[],[],[],[],[]
ct_111,:heart_suit::heart_suit::heart_suit::heart_suit: in love,0,0,3,56,0,4,"['game', 'game', 'game', 'game']",[],[],[],[],[]
ct_112,carlo showalter :red_heart:,0,0,3,27,0,1,['emotion'],[],[],[],[],[]
ct_118,sexy boy!,0,0,2,9,0,0,[],[],[],[],[],[]
ct_123,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:,0,0,1,156,0,6,"['face-affection', 'face-affection', 'face-affection', 'face-affection', 'face-affection', 'face-affection']","[79.75, 79.75, 79.75, 79.75, 79.75, 79.75]","[42.428571, 42.428571, 42.428571, 42.428571, 42.428571, 42.428571]","[90.464286, 90.464286, 90.464286, 90.464286, 90.464286, 90.464286]","[87.0, 87.0, 87.0, 87.0, 87.0, 87.0]","[51.678571, 51.678571, 51.678571, 51.678571, 51.678571, 51.678571]"
ct_126,sexy song,0,0,2,9,0,0,[],[],[],[],[],[]
ct_127,omg i can't wait to see them in nyc,0,1,9,35,1,0,[],[],[],[],[],[]
ct_129,big up from detroit with love to all ,0,0,8,37,0,0,[],[],[],[],[],[]
ct_134,:red_heart:,0,0,1,11,0,1,['emotion'],[],[],[],[],[]
ct_136,this is perfect ,0,0,3,16,0,0,[],[],[],[],[],[]
ct_139,because it's arte :winking_face: @anousonne ,0,0,5,44,1,1,['face-smiling'],[53.580645],[45.870968],[63.935484],[82.354839],[27.516129]
ct_140,"thanks @arte concert , for broadcasting this.",0,0,7,45,1,0,[],[],[],[],[],[]
ct_142,biggest single hit by them in the uk i think?,0,1,10,45,1,0,[],[],[],[],[],[]
ct_147,kelly watch the stars,0,0,4,21,0,0,[],[],[],[],[],[]
ct_150,kelly watch the stars,0,0,4,21,0,0,[],[],[],[],[],[]
ct_151,cosmic sound:planet-orange-purple-ring:,0,0,2,39,2,0,[],[],[],[],[],[]
ct_152,:eyes-pink-heart-shape:,0,0,1,23,0,0,[],[],[],[],[],[]
ct_153,around the world,0,0,3,16,0,0,[],[],[],[],[],[]
ct_155,"also love the b-side of sexy boy ""jeanne"", with the late francoise hardy",0,0,13,72,0,0,[],[],[],[],[],[]
ct_156,"kelly, watch the stars!",0,0,4,23,0,0,[],[],[],[],[],[]
ct_157,@arte concert la femme d'argent already played at first :d,0,0,10,58,1,0,[],[],[],[],[],[]
ct_158,air is timeless:musical_note::musical_score:,0,0,3,44,1,2,"['music', 'music']",[],[],[],[],[]
ct_159,@arte concert ce matin la,0,0,5,25,1,0,[],[],[],[],[],[]
ct_160,my fav track by them is sadly not on this album :(,0,1,12,50,0,0,[],[],[],[],[],[]
ct_163,thx for streaming this premiere!! @arte concert :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,0,0,8,114,1,0,[],[],[],[],[],[]
ct_164,which one is it doughnut doney ?,0,0,7,32,0,0,[],[],[],[],[],[]
ct_165,stoked i was able to catch this!,0,1,7,32,0,0,[],[],[],[],[],[]
ct_169,@timlm cherry blossom girl,0,0,4,26,0,0,[],[],[],[],[],[]
ct_171,:person-turqouise-waving::person-turqouise-waving::person-turqouise-waving:,0,0,1,75,0,0,[],[],[],[],[],[]
ct_174,chicas,0,0,1,6,1,0,[],[],[],[],[],[]
ct_176,sexy boy is fantastic,0,0,4,21,0,0,[],[],[],[],[],[]
ct_177,i loved seeing them live in paradiso 1998,0,1,8,41,0,0,[],[],[],[],[],[]
ct_178,a great one i agree !,0,1,6,21,0,0,[],[],[],[],[],[]
ct_179,people in the city,0,0,4,18,0,0,[],[],[],[],[],[]
ct_180,sexy air,0,0,2,8,0,0,[],[],[],[],[],[]
ct_182,love this one too,0,0,4,17,0,0,[],[],[],[],[],[]
ct_183,i gave it all it got,0,1,6,20,5,0,[],[],[],[],[],[]
ct_184,!!!!!!!!!!,0,0,1,10,0,0,[],[],[],[],[],[]
ct_185,all i need is air concert :d,0,1,7,28,0,0,[],[],[],[],[],[]
ct_186,but i never forgot,0,1,4,18,3,0,[],[],[],[],[],[]
ct_187,waiting for mexico !!!!,0,0,4,23,1,0,[],[],[],[],[],[]
ct_188,all album is gold,0,0,4,17,0,0,[],[],[],[],[],[]
ct_189,all i need right now.... air....,0,1,6,32,0,0,[],[],[],[],[],[]
ct_190,all i need. the chills the goosebumps,0,1,7,37,0,0,[],[],[],[],[],[]
ct_191,what a beautiful arrangements,0,0,4,29,0,0,[],[],[],[],[],[]
ct_197,cool live version ,0,0,3,18,0,0,[],[],[],[],[],[]
ct_198,all i need ...is air,0,1,5,20,0,0,[],[],[],[],[],[]
ct_199,all i need with a 2024 remix,0,1,7,28,0,0,[],[],[],[],[],[]
ct_200,:eyes-pink-heart-shape: ahuuuahhh,0,0,2,33,0,0,[],[],[],[],[],[]
ct_201,best of the best,0,0,4,16,0,0,[],[],[],[],[],[]
ct_205,thanks so much for this arte!:sparkling_heart:,0,0,6,46,1,1,['emotion'],[],[],[],[],[]
ct_206,love is in the air,0,0,5,18,0,0,[],[],[],[],[],[]
ct_208,those synths the reverb. ,0,0,4,25,0,0,[],[],[],[],[],[]
ct_212,very mellow track :),0,0,4,20,0,0,[],[],[],[],[],[]
ct_213,such great energy and hope this album expresses on each track - masterpiece album,0,0,14,81,0,0,[],[],[],[],[],[]
ct_216,great live version of all i need ,0,1,7,33,0,0,[],[],[],[],[],[]
ct_217,"what a legendary album ! so happy to hear it again, and again, and again.... and now, too !",0,0,19,91,0,0,[],[],[],[],[],[]
ct_218,so jazz white people will call the cops,0,0,8,39,8,0,[],[],[],[],[],[]
ct_223,the doors stuff,0,0,3,15,0,0,[],[],[],[],[],[]
ct_225,great 90s,0,0,2,9,0,0,[],[],[],[],[],[]
ct_226,road a horse through heaven,0,0,5,27,4,0,[],[],[],[],[],[]
ct_228,:smiling_face_with_sunglasses::smiling_face_with_sunglasses::crying_face::smiling_face_with_sunglasses::smiling_face_with_sunglasses::smiling_face_with_sunglasses:,0,0,1,163,0,6,"['face-concerned', 'face-glasses', 'face-glasses', 'face-glasses', 'face-glasses', 'face-glasses']","[56.192308, 56.192308, 66.75, 56.192308, 56.192308, 56.192308]","[32.961538, 32.961538, 64.5, 32.961538, 32.961538, 32.961538]","[85.884615, 85.884615, 27.535714, 85.884615, 85.884615, 85.884615]","[82.923077, 82.923077, 74.464286, 82.923077, 82.923077, 82.923077]","[46.807692, 46.807692, 41.035714, 46.807692, 46.807692, 46.807692]"
ct_231,road sure she was not a cow,0,0,7,27,6,0,[],[],[],[],[],[]
ct_232,:red_heart::red_heart::red_heart::red_heart::red_heart:,0,0,1,55,0,5,"['emotion', 'emotion', 'emotion', 'emotion', 'emotion']",[],[],[],[],[]
ct_234,riders on the moon,0,0,4,18,0,0,[],[],[],[],[],[]
ct_235,cause im meat free,0,1,4,18,4,0,[],[],[],[],[],[]
ct_237,chicken fish and pussy is all i eat ,0,1,8,36,7,0,[],[],[],[],[],[]
ct_240,air not had studio album for what 12 years now,0,0,10,46,0,0,[],[],[],[],[],[]
ct_243,another era,0,0,2,11,0,0,[],[],[],[],[],[]
ct_245,excellent version of all i need,0,1,6,31,0,0,[],[],[],[],[],[]
ct_249,nice:thumbs_up::thumbs_up:,0,0,1,26,0,2,"['hand-fingers-closed', 'hand-fingers-closed']",[],[],[],[],[]
ct_255,styx com mr roboto,0,0,4,18,3,0,[],[],[],[],[],[]
ct_258,the ,0,0,1,4,0,0,[],[],[],[],[],[]
ct_261,noce!,0,0,1,5,0,0,[],[],[],[],[],[]
ct_262,the stars,0,0,2,9,0,0,[],[],[],[],[],[]
ct_263,"20 years, oh bro",0,0,4,16,0,0,[],[],[],[],[],[]
ct_265,ever track is a repeat of a 4 x 4 scale since 1775,0,0,13,50,7,0,[],[],[],[],[],[]
ct_277,"time machine, 24 years back, with this song.",0,0,8,44,0,0,[],[],[],[],[],[]
ct_279,:blue_circle::white_circle::red_circle:,0,0,1,39,0,3,"['geometric', 'geometric', 'geometric']",[],[],[],[],[]
ct_280,i love this album,0,1,4,17,0,0,[],[],[],[],[],[]
ct_282,:red_heart:,0,0,1,11,0,1,['emotion'],[],[],[],[],[]
ct_283,:shooting_star::shooting_star::shooting_star::glowing_star:,0,0,1,59,0,4,"['sky & weather', 'sky & weather', 'sky & weather', 'sky & weather']",[],[],[],[],[]
ct_285,goods albums,0,0,2,12,0,0,[],[],[],[],[],[]
ct_286, the original batman ,0,0,3,21,3,0,[],[],[],[],[],[]
ct_288,i love this guays,0,1,4,17,0,0,[],[],[],[],[],[]
ct_291,very cool,0,0,2,9,0,0,[],[],[],[],[],[]
ct_293,one of the best album in the world :red_heart:,0,0,9,46,0,1,['emotion'],[],[],[],[],[]
ct_296,top notch @shon ryder ,0,0,4,22,2,0,[],[],[],[],[],[]
ct_298,this was such an important release ,0,0,6,35,0,0,[],[],[],[],[],[]
ct_300,cool :face-red-heart-shape:,0,0,2,27,0,0,[],[],[],[],[],[]
ct_302,"@headsknow yeah, i was going to give up on music with all that depressing grunge and then this album came out",0,1,21,109,0,0,[],[],[],[],[],[]
ct_303,:face-red-heart-shape:,0,0,1,22,0,0,[],[],[],[],[],[]
ct_304,oush this one...,0,0,3,16,0,0,[],[],[],[],[],[]
ct_305,i remember enjoying life before everyone had a camara,0,1,9,53,3,0,[],[],[],[],[],[]
ct_306,very soon @hipnosis festival mexico,0,0,5,35,3,0,[],[],[],[],[],[]
ct_307,"i was there this night, amazing",0,1,6,31,0,0,[],[],[],[],[],[]
ct_309,piss off i phone camara man,0,1,6,27,0,0,[],[],[],[],[],[]
ct_310,@frank zappa how? it's live! go back to the concert!!,0,0,10,53,0,0,[],[],[],[],[],[]
ct_312,air london 2004 still remember:),0,0,5,32,1,0,[],[],[],[],[],[]
ct_316,:eyes-pink-heart-shape:,0,0,1,23,0,0,[],[],[],[],[],[]
ct_317,:bow_and_arrow::balloon:,0,0,1,24,0,2,"['event', 'tool']",[],[],[],[],[]
ct_324,over a month from today and i will see this in austin tx,0,1,13,56,1,0,[],[],[],[],[],[]
ct_326,i'm in tears !! so amazing <3,0,1,7,29,0,0,[],[],[],[],[],[]
ct_327,:shelterin::chillwcat::planet-orange-purple-ring::planet-orange-purple-ring::planet-orange-purple-ring:,0,0,1,103,0,2,[],[],[],[],[],[]
ct_328,:hands-yellow-heart-red::hands-yellow-heart-red::hands-yellow-heart-red::hands-yellow-heart-red::hands-yellow-heart-red::hands-yellow-heart-red::hands-yellow-heart-red:,0,0,1,168,0,0,[],[],[],[],[],[]
ct_329,in five seconds ur gong to press record ,0,0,8,40,0,0,[],[],[],[],[],[]
ct_331,r ur ready,0,0,3,10,0,0,[],[],[],[],[],[]
ct_332,:place_of_worship:,0,0,1,18,0,1,['religion'],[],[],[],[],[]
ct_334,@erick landaburu they are playing the whole album as far as i know. ,0,1,13,68,0,0,[],[],[],[],[],[]
ct_335,"if air ever comes to chile, i'll be the first in the line to buy a ticket :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:",0,1,18,164,0,3,"['face-affection', 'face-affection', 'face-affection']","[78.142857, 78.142857, 78.142857]","[49.642857, 49.642857, 49.642857]","[91.464286, 91.464286, 91.464286]","[88.214286, 88.214286, 88.214286]","[41.821429, 41.821429, 41.821429]"
ct_336,talisman:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,0,0,1,96,0,0,[],[],[],[],[],[]
ct_340,"i know this album by heart. my dad used to listen to it so often, i have really precious memories of my childhood and family with this as a soundtrack :red_heart:",0,4,31,162,0,1,['emotion'],[],[],[],[],[]
ct_344,they played the whole album @erick landaburu ,0,0,7,45,0,0,[],[],[],[],[],[]
ct_345,@cyrana my favourite sunday morning record,0,1,6,42,0,0,[],[],[],[],[],[]
ct_346,chicas front rrow,0,0,3,17,0,0,[],[],[],[],[],[]
ct_349,:face-fuchsia-tongue-out:,0,0,1,25,0,0,[],[],[],[],[],[]
ct_350,:clapping_hands:,0,0,1,16,0,1,['hands'],[],[],[],[],[]
ct_351,my 80's childness,0,1,3,17,0,0,[],[],[],[],[],[]
ct_353,@leesmap man such a brilliant track !,0,0,7,37,0,0,[],[],[],[],[],[]
ct_354,so beautiful,0,0,2,12,0,0,[],[],[],[],[],[]
ct_356,:rolling_on_the_floor_laughing:,0,0,1,31,0,1,['face-smiling'],[84.322581],[71.483871],[84.16129],[77.419355],[48.870968]
ct_357,thanks so much for broadcasting this ,0,0,6,37,0,0,[],[],[],[],[],[]
ct_359,the best album for a warm summer's evening in the countryside or by the sea.,0,0,15,76,0,0,[],[],[],[],[],[]
ct_361,omagad thank you arte for this !,0,0,7,32,3,0,[],[],[],[],[],[]
ct_362,@leesmap man this album changed the way i listened to music truly,0,1,12,65,0,0,[],[],[],[],[],[]
ct_363,remember my youth :green_heart:,0,1,4,31,1,1,['emotion'],[],[],[],[],[]
ct_364,universe,0,0,1,8,0,0,[],[],[],[],[],[]
ct_365,@erick landaburu it is the 8th song ... in a minute!,0,0,11,52,0,0,[],[],[],[],[],[]
ct_366,this bass ooof,0,0,3,14,0,0,[],[],[],[],[],[]
ct_368,production is unreal,0,0,3,20,0,0,[],[],[],[],[],[]
ct_369,amazing! :black_heart::black_heart::black_heart:,0,0,2,48,0,3,"['emotion', 'emotion', 'emotion']",[],[],[],[],[]
ct_370,i love you air :black_heart::black_heart::black_heart:,0,1,5,54,1,3,"['emotion', 'emotion', 'emotion']",[],[],[],[],[]
ct_375,well this takes me back,0,1,5,23,0,0,[],[],[],[],[],[]
ct_376,dont forget about your heart tonight,0,0,6,36,6,0,[],[],[],[],[],[]
ct_379,the audio sounds amazing,0,0,4,24,0,0,[],[],[],[],[],[]
ct_380,:face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out::face-fuchsia-tongue-out:,0,0,1,150,0,0,[],[],[],[],[],[]
ct_385,forget about ur heart,0,0,4,21,4,0,[],[],[],[],[],[]
ct_388,just opened and this awesome concert appeard! thank you algorithm and arte concert! :red_heart::red_heart:,0,0,14,106,1,2,"['emotion', 'emotion']",[],[],[],[],[]
ct_389,not quite the same without beth orton,0,0,7,37,0,0,[],[],[],[],[],[]
ct_390,need this right now :green_heart:,0,0,5,33,2,1,['emotion'],[],[],[],[],[]
ct_391,air look more than a duo,0,0,6,24,0,0,[],[],[],[],[],[]
ct_392,:eyes-pink-heart-shape:,0,0,1,23,0,0,[],[],[],[],[],[]
ct_393,"my tv harmakardon is satured, but it's so nice",0,1,9,46,1,0,[],[],[],[],[],[]
ct_395,:raising_hands::raising_hands::raising_hands::raising_hands::raising_hands:,0,0,1,75,0,5,"['hands', 'hands', 'hands', 'hands', 'hands']",[],[],[],[],[]
ct_397,:smiling_face_with_hearts::face_holding_back_tears::moon_viewing_ceremony::monkey:,0,0,1,82,0,4,"['animal-mammal', 'event', 'face-affection']","[79.75, 47.192308]","[42.428571, 42.807692]","[90.464286, 69.576923]","[87.0, 51.807692]","[51.678571, 74.923077]"
ct_398,:red_heart:,0,0,1,11,0,1,['emotion'],[],[],[],[],[]
ct_400,:face-fuchsia-wide-eyes:,0,0,1,24,0,0,[],[],[],[],[],[]
ct_401,the visuals,0,0,2,11,0,0,[],[],[],[],[],[]
ct_404,:purple_heart::purple_heart::purple_heart::blue_heart::purple_heart::purple_heart::purple_heart:,0,0,1,96,0,7,"['emotion', 'emotion', 'emotion', 'emotion', 'emotion', 'emotion', 'emotion']",[],[],[],[],[]
ct_405,hermoso,0,0,1,7,0,0,[],[],[],[],[],[]
ct_407,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,0,0,1,88,0,0,[],[],[],[],[],[]
ct_408,love the glockenspiel!,0,0,3,22,0,0,[],[],[],[],[],[]
ct_409,:red_heart:,0,0,1,11,0,1,['emotion'],[],[],[],[],[]
ct_410,:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss:,0,0,1,225,0,9,"['face-affection', 'face-affection', 'face-affection', 'face-affection', 'face-affection', 'face-affection', 'face-affection', 'face-affection', 'face-affection']","[78.142857, 78.142857, 78.142857, 78.142857, 66.321429, 66.321429, 66.321429, 66.321429, 66.321429]","[49.642857, 49.642857, 49.642857, 49.642857, 46.607143, 46.607143, 46.607143, 46.607143, 46.607143]","[91.464286, 91.464286, 91.464286, 91.464286, 86.964286, 86.964286, 86.964286, 86.964286, 86.964286]","[88.214286, 88.214286, 88.214286, 88.214286, 83.5, 83.5, 83.5, 83.5, 83.5]","[41.821429, 41.821429, 41.821429, 41.821429, 46.357143, 46.357143, 46.357143, 46.357143, 46.357143]"
ct_411,fifty shades of white :white_heart:,0,0,5,35,0,1,['emotion'],[],[],[],[],[]
ct_412,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts: wow i loved,0,1,4,90,0,3,"['face-affection', 'face-affection', 'face-affection']","[79.75, 79.75, 79.75]","[42.428571, 42.428571, 42.428571]","[90.464286, 90.464286, 90.464286]","[87.0, 87.0, 87.0]","[51.678571, 51.678571, 51.678571]"
ct_413,:smiling_face_with_hearts:,0,0,1,26,0,1,['face-affection'],[79.75],[42.428571],[90.464286],[87.0],[51.678571]
ct_419,:popcorn-yellow-striped-smile:,0,0,1,30,0,0,[],[],[],[],[],[]
ct_420,merci arte :heart_hands:,0,0,3,24,1,1,[],[],[],[],[],[]
ct_423,:smiling_face_with_sunglasses::fire::rocket:,0,0,1,44,0,3,"['face-glasses', 'sky & weather', 'transport-air']",[56.192308],[32.961538],[85.884615],[82.923077],[46.807692]
ct_424,"""don't be live.."" (virginsuicide)",0,0,4,33,0,0,[],[],[],[],[],[]
ct_427,but when i wake up. black friday let me pay ,0,2,10,44,1,0,[],[],[],[],[],[]
ct_431,:blue_heart::white_heart::heart_suit:everybody's talkin' at mei don't hear a word they're sayin'...lalala,0,0,10,105,0,3,"['emotion', 'emotion', 'game']",[],[],[],[],[]
ct_434,:ear::sparkling_heart::ear::sparkling_heart::ear::sparkling_heart::ear::sparkling_heart:,0,0,1,88,0,8,"['body-parts', 'body-parts', 'body-parts', 'body-parts', 'emotion', 'emotion', 'emotion', 'emotion']",[],[],[],[],[]
ct_435,@headsknow that's a great name!,0,0,5,31,0,0,[],[],[],[],[],[]
ct_437,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:,0,0,1,66,0,0,[],[],[],[],[],[]
ct_438,"vamos suga no meth no cocaine, not stupid shit in ur body just #love ufc306",0,0,15,75,14,0,[],[],[],[],[],[]
ct_439,:winking_face:morricon,0,0,1,22,0,1,['face-smiling'],[53.580645],[45.870968],[63.935484],[82.354839],[27.516129]
ct_441,:hundred_points:,0,0,1,16,0,1,['emotion'],[],[],[],[],[]
ct_443,i was a air fan since the beginning and now my daughter love air too.,0,2,15,69,2,0,[],[],[],[],[],[]
ct_444,:clinking_glasses::hands-yellow-heart-red:,0,0,1,42,0,1,['drink'],[],[],[],[],[]
ct_448,@retrosound they are timeless and this album even more,0,0,9,54,0,0,[],[],[],[],[],[]
ct_449,"best way to stay off drugs, latins",0,0,7,34,0,0,[],[],[],[],[],[]
ct_450,:anatomical_heart::anatomical_heart::anatomical_heart:,0,0,1,54,0,3,"['body-parts', 'body-parts', 'body-parts']",[],[],[],[],[]
ct_454,are you here that guy from brazil who took a photo of us with air at london royal festival hall backstage on 2004?,1,0,23,114,1,0,[],[],[],[],[],[]
ct_455,my fave album performed beautifully live ,0,1,6,41,0,0,[],[],[],[],[],[]
ct_458,ce matin la @steffi whelan ,0,0,5,27,0,0,[],[],[],[],[],[]
ct_459,:hands-yellow-heart-red:,0,0,1,24,0,0,[],[],[],[],[],[]
ct_460,:sign_of_the_horns::sign_of_the_horns:,0,0,1,38,0,2,"['hand-fingers-partial', 'hand-fingers-partial']",[],[],[],[],[]
ct_461,baby blue ?,0,0,3,11,0,0,[],[],[],[],[],[]
ct_463,thanks!! ,0,0,1,9,0,0,[],[],[],[],[],[]
ct_464,such great performance the way they make even more unique each track from album,0,0,14,79,0,0,[],[],[],[],[],[]
ct_465,two tracks to go and then what...more songs?,0,0,8,44,0,0,[],[],[],[],[],[]
ct_469,:face-orange-tv-shape:,0,0,1,22,0,0,[],[],[],[],[],[]
ct_470,a best of i think @doughnut doney ,0,1,7,34,0,0,[],[],[],[],[],[]
ct_471,"grab her hand and say hi,,, dance with her, hug her, love her and no matter never nver forget her",0,0,20,97,1,0,[],[],[],[],[],[]
ct_472,visuals are absolutely stunning :star_struck: ,0,0,5,46,0,1,['face-affection'],[58.615385],[70.961538],[88.807692],[48.807692],[62.576923]
ct_474,@doughnut doney there is a part two with various of their best numbers then 2 number encore,0,0,17,91,0,0,[],[],[],[],[],[]
ct_475,:face-blue-wide-eyes:,0,0,1,21,0,0,[],[],[],[],[],[]
ct_476,love love this tune,0,0,4,19,0,0,[],[],[],[],[],[]
